fL_a,delta_fL,fL_b,v_g,num_samples,seed,Gamma_T_EE_xi0,Gamma_T_full_xi0,Gamma_T_EE_norm_xi0,Gamma_T_EE_piece_over_2EE0,Gamma_T_PE_piece_over_2EE0,Gamma_T_EP_piece_over_2EE0,Gamma_T_PP_piece_over_2EE0,method
500.0,2.733761931564792e-05,500.0000273376193,1.0,0,20260723,2.0943951023931953,4.188789555808058,0.9999998450678356,0.5,7.599088773175336e-08,7.599087526729503e-08,0.4999999970495985,exact GR tensor xi=0 angular integral
500.0,2.791642957690527e-05,500.0000279164296,1.0,0,20260723,2.0943951023931953,4.188789555279189,0.9999998449415775,0.5,7.599088773175336e-08,7.599087500338925e-08,0.4999999969233402,exact GR tensor xi=0 angular integral
500.0,2.8507494794041066e-05,500.0000285074948,1.0,0,20260723,2.0943951023931953,4.1887895547276885,0.9999998448099163,0.5,7.599088773175336e-08,7.599087473389592e-08,0.4999999967916788,exact GR tensor xi=0 angular integral
500.0,2.9111074437133347e-05,500.0000291110744,1.0,0,20260723,2.0943951023931953,4.188789554152586,0.9999998446726208,0.5,7.599088773175336e-08,7.599087445869665e-08,0.4999999966543831,exact GR tensor xi=0 angular integral
500.0,2.972743346993305e-05,500.00002972743346,1.0,0,20260723,2.0943951023931953,4.188789553552874,0.9999998445294501,0.5,7.599088773175336e-08,7.59908741776707e-08,0.4999999965112121,exact GR tensor xi=0 angular integral
500.0,3.0356842466179967e-05,500.00003035684244,1.0,0,20260723,2.0943951023931953,4.188789552927498,0.9999998443801527,0.5,7.599088773175336e-08,7.599087389069467e-08,0.4999999963619143,exact GR tensor xi=0 angular integral
500.0,3.099957772838104e-05,500.00003099957775,1.0,0,20260723,2.0943951023931953,4.1887895522753595,0.9999998442244661,0.5,7.599088773175336e-08,7.599087359764262e-08,0.4999999962062274,exact GR tensor xi=0 angular integral
500.0,3.1655921409103856e-05,500.0000316559214,1.0,0,20260723,2.0943951023931953,4.188789551595314,0.9999998440621172,0.5,7.599088773175336e-08,7.599087329838587e-08,0.4999999960438782,exact GR tensor xi=0 angular integral
500.0,3.2326161634837684e-05,500.00003232616166,1.0,0,20260723,2.0943951023931953,4.188789550886167,0.9999998438928207,0.5,7.599088773175336e-08,7.599087299279306e-08,0.49999999587458144,exact GR tensor xi=0 angular integral
500.0,3.301059263247755e-05,500.00003301059263,1.0,0,20260723,2.0943951023931953,4.188789550146672,0.9999998437162794,0.5,7.599088773175336e-08,7.599087268073003e-08,0.4999999956980399,exact GR tensor xi=0 angular integral
500.0,3.3709514858485996e-05,500.00003370951487,1.0,0,20260723,2.0943951023931953,4.1887895493755325,0.9999998435321833,0.5,7.599088773175336e-08,7.59908723620598e-08,0.4999999955139435,exact GR tensor xi=0 angular integral
500.0,3.442323513078961e-05,500.00003442323515,1.0,0,20260723,2.0943951023931953,4.188789548571393,0.9999998433402091,0.5,7.599088773175336e-08,7.59908720366425e-08,0.4999999953219689,exact GR tensor xi=0 angular integral
500.0,3.5152066763468416e-05,500.00003515206674,1.0,0,20260723,2.0943951023931953,4.188789547732841,0.9999998431400197,0.5,7.599088773175336e-08,7.599087170433524e-08,0.49999999512177906,exact GR tensor xi=0 angular integral
500.0,3.589632970429635e-05,500.0000358963297,1.0,0,20260723,2.0943951023931953,4.188789546858405,0.9999998429312633,0.5,7.599088773175336e-08,7.599087136499213e-08,0.4999999949130224,exact GR tensor xi=0 angular integral
500.0,3.665635067519453e-05,500.0000366563507,1.0,0,20260723,2.0943951023931953,4.188789545946547,0.9999998427135735,0.5,7.599088773175336e-08,7.599087101846421e-08,0.49999999469533224,exact GR tensor xi=0 angular integral
500.0,3.743246331565792e-05,500.00003743246333,1.0,0,20260723,2.0943951023931953,4.188789544995669,0.9999998424865679,0.5,7.599088773175336e-08,7.59908706645994e-08,0.4999999944683264,exact GR tensor xi=0 angular integral
500.0,3.8225008329218704e-05,500.0000382250083,1.0,0,20260723,2.0943951023931953,4.1887895440040985,0.999999842249848,0.5,7.599088773175336e-08,7.599087030324231e-08,0.49999999423160607,exact GR tensor xi=0 angular integral
500.0,3.9034333633011164e-05,500.0000390343336,1.0,0,20260723,2.0943951023931953,4.188789542970096,0.9999998420029981,0.5,7.599088773175336e-08,7.599086993423438e-08,0.4999999939847557,exact GR tensor xi=0 angular integral
500.0,3.986079451050232e-05,500.0000398607945,1.0,0,20260723,2.0943951023931953,4.188789541891845,0.9999998417455844,0.5,7.599088773175336e-08,7.599086955741352e-08,0.49999999372734166,exact GR tensor xi=0 angular integral
500.0,4.0704753767457185e-05,500.00004070475376,1.0,0,20260723,2.0943951023931953,4.18878954076745,0.999999841477155,0.5,7.599088773175336e-08,7.59908691726144e-08,0.49999999345891194,exact GR tensor xi=0 angular integral
500.0,4.156658189120577e-05,500.0000415665819,1.0,0,20260723,2.0943951023931953,4.188789539594939,0.9999998411972386,0.5,7.599088773175336e-08,7.599086877966803e-08,0.49999999317899513,exact GR tensor xi=0 angular integral
500.0,4.244665721328218e-05,500.00004244665723,1.0,0,20260723,2.0943951023931953,4.1887895383722515,0.9999998409053436,0.5,7.599088773175336e-08,7.599086837840196e-08,0.4999999928870997,exact GR tensor xi=0 angular integral
500.0,4.334536607550772e-05,500.00004334536607,1.0,0,20260723,2.0943951023931953,4.188789537097241,0.9999998406009573,0.5,7.599088773175336e-08,7.599086796864e-08,0.499999992582713,exact GR tensor xi=0 angular integral
500.0,4.426310299958945e-05,500.000044263103,1.0,0,20260723,2.0943951023931953,4.188789535767669,0.9999998402835453,0.5,7.599088773175336e-08,7.599086755020232e-08,0.4999999922653005,exact GR tensor xi=0 angular integral
500.0,4.5200270860310534e-05,500.00004520027085,1.0,0,20260723,2.0943951023931953,4.1887895343812,0.9999998399525499,0.5,7.599088773175336e-08,7.599086712290518e-08,0.4999999919343048,exact GR tensor xi=0 angular integral
500.0,4.6157281062387054e-05,500.0000461572811,1.0,0,20260723,2.0943951023931953,4.188789532935397,0.9999998396073901,0.5,7.599088773175336e-08,7.599086668656102e-08,0.49999999158914454,exact GR tensor xi=0 angular integral
